company,date,title,duration,summary,category
Box,2025-05-02,No incidents found,N/A,No incident data could be extracted from the status page.,No Data
DigitalOcean,2025-05-02,No incidents found,N/A,No incident data could be extracted from the status page.,No Data
Confluent,2025-05-02,No incidents found,N/A,No incident data could be extracted from the status page.,No Data
MongoDB,2025-05-02,Delayed Atlas metrics processing,3 hours 37 minutes,The incident is now resolved. Since May 1st 2025 at 04:52 UTC we falsely reported a limited number of Atlas Clusters as down in the UI and alerted as such.,Data Processing Issue
Confluent,2025-05-01,Confluent Cloud Metrics API Delay,45 minutes,"On May 1st, 2025 between 17:00 and 17:45 UTC, the Confluent Cloud Metrics API experienced ingestion delay for the ""io.confluent.kafka.server/retained_bytes"" metric for some customers. As a result, queries for this specific metric may have yielded incomplete, undercounted, or missing data.",API Outage
Snowflake,2025-04-22,Scheduled Maintenance - US East,2 hours,Scheduled maintenance was performed on US East infrastructure to improve query performance. Some users may have experienced brief service interruption during the maintenance window.,Scheduled Maintenance
Confluent,2025-04-21,"Clusters not visible in UI, Terraform, and CLI",1 hour 25 minutes,This problem has been mitigated as of 2025-04-21 15:52 UTC. No further issues have been observed.,UI/Console Problem
Confluent,2025-04-17,Confluent Cloud incident affecting Control Plane Authorization,22 minutes,"From 21:59 UTC to 22:21 UTC customers observed errors in the Confluent Cloud UI, control plane APIs, CLI, Terraform and Metrics API due to an Authorization Service outage affecting control plane services. The issue has been resolved and there was no impact on data plane services.",Authentication/Authorization Issue
Snowflake,2025-04-07,Degraded Performance - Query Processing,45 minutes,Users experienced higher than normal query latency due to backend resource constraints. The issue was identified and resolved by our engineering team.,Performance Degradation
Snowflake,2025-03-18,Service Disruption - Data Loading,1 hour 30 minutes,Data loading operations were impacted due to storage subsystem performance issues. The team implemented mitigations and restored normal operation.,Storage System Problem
MongoDB,2025-02-28,Login to the Atlas Web Portal degraded,40 minutes,Users experienced degraded performance while trying to log in to the Atlas Web Portal. The issue has been resolved.,Authentication/Authorization Issue
Confluent,2025-02-26,Egress IPs are not discoverable,2 hours 48 minutes,"Egress IPs were not discoverable for a brief period, impacting minor services. The issue has been resolved.",Network Issue
Confluent,2025-02-25,Experiencing partial outage in AZURE in US EAST 2 region,8 hours 14 minutes,"There was a partial outage in the AZURE US EAST 2 region, affecting major services. The incident has been resolved.",Network Issue
MongoDB,2025-02-25,MongoDB Atlas App Services and Device Sync UI accessibility issue,5 hours 41 minutes,Users reported that the MongoDB Atlas App Services and Device Sync UI was not accessible during the specified time. The issue has been resolved.,UI/Console Problem
Snowflake,2025-02-21,API Latency Issues,3 hours,API requests experienced increased latency due to network connectivity issues between data centers. The networking team resolved the issue.,Performance Degradation
Confluent,2025-02-20,Apache Flink incident in AWS us-west-2,49 minutes,"An incident involving Apache Flink occurred in AWS us-west-2, causing major impact. The incident has been resolved.",Other (Infrastructure Service Issue)
Confluent,2025-02-20,Confluent Cloud incident affecting Kafka clusters in Azure norwayeast,19 minutes,"An incident in Confluent Cloud affected Kafka clusters in Azure norwayeast, resulting in critical impact. The incident has been resolved.",Third-party Service Dependency
MongoDB,2024-11-23,[Scheduled] [Scheduled Maintenance Completed]: MongoDB Support Portal Service Restored,2 hours 4 minutes,"The maintenance scheduled for Nov 23, 2024 has been successfully completed. We are happy to inform you that the MongoDB Support Portal has been fully restored. The MongoDB Support Portal was unavailable on Saturday, November 23, 2024, from 15:49 UTC to 17:53 UTC due to planned maintenance. We appreciate your patience and understanding as we worked to complete the required maintenance.",Scheduled Maintenance
MongoDB,2024-11-19,Delays in Online Archiving,2 days 17 hours 13 minutes,The fix has been deployed across the fleet and Online Archiving is operating normally.,Performance Degradation
Confluent,2024-11-14,Confluent Cloud UI Unavailability,3 hours 25 minutes,"The Confluent Cloud UI was unavailable from Nov 14, 06:13 UTC to Nov 14, 09:38 UTC. The issue has been resolved, and the UI is fully functional now.",UI/Console Problem
Confluent,2024-11-13,Confluent Cloud Control Plane API/UI Unavailability,15 hours 23 minutes,"The Confluent Cloud Control Plane API/UI was unavailable from Nov 13, 18:12 UTC to Nov 14, 09:35 UTC. This incident has been resolved.",API Outage
Confluent,2024-11-04,Confluent Cloud - Metrics API Latency,13 hours 19 minutes,"The Confluent Cloud Metrics API experienced elevated latency and error rate from Nov 4, 17:36 UTC to Nov 5, 06:55 UTC. This incident has been resolved.",Performance Degradation
Confluent,2024-08-29,Some Confluent Cloud users might experience issues with network provisioning and Kafka read/write unavailability in multiple AWS regions,58 minutes,Some Confluent Cloud users experienced issues with network provisioning and Kafka read/write unavailability in multiple AWS regions. The incident has been resolved.,Network Issue
MongoDB,2024-08-29,Atlas Cluster Operations Delayed,35 minutes,Minor incident where Atlas cluster operations were delayed. The issue has been resolved.,Performance Degradation
MongoDB,2024-08-23,MongoDB Atlas Triggers: Delayed Processing of Events,3 days 17 hours 59 minutes,Major incident involving delayed processing of events by MongoDB Atlas Triggers. The incident has been resolved.,Database Problem
MongoDB,2024-08-16,MongoDB Atlas Triggers: Increased failure rate,5 days 3 hours,Major incident with an increased failure rate in MongoDB Atlas Triggers. The issue has been resolved.,Database Problem
Confluent,2024-08-13,Confluent Cloud Metrics API is currently experiencing elevated latency and error rate.,2 hours 8 minutes,Confluent Cloud Metrics API experienced elevated latency and error rate. The incident has been resolved.,Performance Degradation
Confluent,2024-08-12,Confluent Cloud Metrics API is currently experiencing elevated error rates.,2 hours 31 minutes,Confluent Cloud Metrics API experienced elevated error rates. The incident is resolved and the API is working as expected.,API Outage
MongoDB,2024-05-23,MongoDB Cloud: Occasional page load errors,13 minutes,Users experienced occasional page load errors on MongoDB Cloud. The incident has been resolved.,Performance Degradation
Confluent,2024-05-23,Some clusters were not visible in Confluent Cloud UI,1 day,Some clusters were not visible in Confluent Cloud UI from 2 PM UTC to 2:45 PM UTC. The services have been stable after the deployment of fix.,UI/Console Problem
MongoDB,2024-05-13,MongoDB Atlas for Government: Cluster Operations Delayed,26 minutes,Cluster operations for MongoDB Atlas for Government were delayed. The issue has been fully resolved.,Database Problem
MongoDB,2024-05-09,Atlas Data Federation and Online Archive users may see increased query timeouts in AWS/ap-southeast-1,1 hour 11 minutes,Users of Atlas Data Federation and Online Archive may have experienced increased query timeouts in AWS/ap-southeast-1. The incident has been resolved.,Performance Degradation
Confluent,2024-05-08,[Scheduled] Confluent Cloud Identity API maintenance,1 hour 16 minutes,The scheduled maintenance for Confluent Cloud Identity API has been completed.,Scheduled Maintenance
MongoDB,2024-05-06,[Scheduled] MongoDB Cloud: Billing operations will be read-only,1 hour,Scheduled maintenance was conducted on MongoDB Cloud for billing operations to be read-only. The maintenance has been completed.,Scheduled Maintenance
MongoDB,2024-05-06,MongoDB Atlas: Invoice summaries are not loading,35 minutes,Users encountered issues with loading invoice summaries on MongoDB Atlas. The incident has been resolved.,Database Problem
MongoDB,2024-05-06,MongoDB Atlas and Cloud Manager: Degraded Performance for Atlas and Cloud Manager UI and API Operations,23 minutes,There was degraded performance for Atlas and Cloud Manager UI and API operations. The incident has been resolved.,Performance Degradation
MongoDB,2024-02-28,"Delays Creating / Modifying Clusters in Azure ""East US 2"" Region",1 day,"The system encountered delays related to the Azure ""East US 2"" outage, but the issues have been resolved.",Performance Degradation
Confluent,2024-02-28,Connectors experience connectivity issues in AWS Cloud,7 hours 10 minutes,Connectors experienced connectivity issues in AWS Cloud. The incident has been resolved.,Network Issue
Confluent,2024-02-27,Connectors Health Degraded,3 hours 45 minutes,"Connectors Health was degraded, but the rollout is completed and the incident is resolved.",Performance Degradation
MongoDB,2024-02-23,Unable to create new Identity Providers for Federated Authentication,4 days,"Users were unable to create new Identity Providers for Federated Authentication, but the incident has been resolved.",Authentication/Authorization Issue
Confluent,2024-02-23,Confluent Cloud Metrics API is currently experiencing elevated error rates,27 minutes,"Confluent Cloud Metrics API experienced elevated error rates. The incident has been resolved, and availability and latencies have fully recovered.",API Outage
MongoDB,2024-02-22,Chat Support Unavailability,Ongoing,"Chat support was unavailable, but the issue has been identified and resolved.",UI/Console Problem
MongoDB,2024-02-21,Increased Error Rate in App Services Functions using deprecated 3rd Party Services,Ongoing,"Users accessing 3rd Party Services in App Services Functions may have experienced higher error rates, but the cause has been identified and resolved.",Third-party Service Dependency
