company,date,title,duration,summary,category
Box,2025-05-02,No incidents found,N/A,No incident data could be extracted from the status page.,No Data
DigitalOcean,2025-05-02,No incidents found,N/A,No incident data could be extracted from the status page.,No Data
MongoDB,2025-05-02,Delayed Atlas metrics processing,3 hours 37 minutes,The incident is now resolved. Since May 1st 2025 at 04:52 UTC we falsely reported a limited number of Atlas Clusters as down in the UI and alerted as such.,Data Processing Issue
Confluent,2025-05-01,Confluent Cloud Metrics API Delay,45 minutes,"On May 1st, 2025 between 17:00 and 17:45 UTC, the Confluent Cloud Metrics API experienced ingestion delay for the ""io.confluent.kafka.server/retained_bytes"" metric for some customers. As a result, queries for this specific metric may have yielded incomplete, undercounted, or missing data.",API Outage
Github,2025-05-01,Issue Attachments Failing to Upload,45 minutes,This incident has been resolved. Issue attachments were failing to upload between 22:28 and 23:13 UTC.,Data Processing Issue
Github,2025-04-30,Disruption with Pull Request Ref Updates,1 hour 3 minutes,"On April 30, 2025, between 8:02 UTC and 9:05 UTC, the Pull Requests service was degraded and failed to update refs for repositories with higher traffic. This was due to a repository migration creating a larger than usual number of enqueued jobs. This resulted in an increase in job failures, delays for non-migration sourced jobs, and delays to tracking refs. We mitigated the incident by shifting the migration jobs to a different job queue.",Performance Degradation
Snowflake,2025-04-22,Scheduled Maintenance - US East,2 hours,Scheduled maintenance was performed on US East infrastructure to improve query performance. Some users may have experienced brief service interruption during the maintenance window.,Scheduled Maintenance
Confluent,2025-04-21,"Clusters not visible in UI, Terraform, and CLI",1 hour 25 minutes,This problem has been mitigated as of 2025-04-21 15:52 UTC. No further issues have been observed.,UI/Console Problem
Confluent,2025-04-17,Confluent Cloud incident affecting Control Plane Authorization,24 minutes,"From 21:59 UTC to 22:21 UTC customers observed errors in the Confluent Cloud UI, control plane APIs, CLI, Terraform and Metrics API due to an Authorization Service outage affecting control plane services. The issue has been resolved and there was no impact on data plane services.",Authentication/Authorization Issue
Snowflake,2025-04-07,Degraded Performance - Query Processing,45 minutes,Users experienced higher than normal query latency due to backend resource constraints. The issue was identified and resolved by our engineering team.,Performance Degradation
Snowflake,2025-03-18,Service Disruption - Data Loading,1 hour 30 minutes,Data loading operations were impacted due to storage subsystem performance issues. The team implemented mitigations and restored normal operation.,Storage System Problem
MongoDB,2025-02-28,Login to the Atlas Web Portal degraded,40 minutes,Users experienced degraded performance while trying to log in to the Atlas Web Portal. The issue has been resolved.,Authentication/Authorization Issue
Github,2025-02-28,Elevated Request Latency for Write operations on github.com and api.github.com,1 hour 6 minutes,"On February 28th, 2025, between 05:49 UTC and 06:55 UTC, a newly deployed background job caused increased load on GitHub’s primary database hosts, resulting in connection pool exhaustion. This led to degraded performance, manifesting as increased latency for write operations and elevated request timeout rates across multiple services. The incident was mitigated by halting execution of the problematic background job and disabling the feature flag controlling the job execution. To prevent similar incidents in the future, we are collaborating on a plan to improve our production signals to better detect and respond to query performance issues.",Performance Degradation
MongoDB,2025-02-25,MongoDB Atlas App Services and Device Sync UI may not be accessible,5 hours 41 minutes,Users reported that the MongoDB Atlas App Services and Device Sync UI was not accessible during this time. The issue has been resolved.,UI/Console Problem
Snowflake,2025-02-21,API Latency Issues,3 hours,API requests experienced increased latency due to network connectivity issues between data centers. The networking team resolved the issue.,Performance Degradation
Confluent,2025-02-20,Confluent Cloud incident affecting Kafka clusters in Azure norwayeast,19 minutes,An incident occurred affecting Kafka clusters in Azure norwayeast. The issue was critical and lasted for 19 minutes before being resolved.,Third-party Service Dependency
Confluent,2025-02-18,Cluster Provisioning - degraded performance,7 hours 25 minutes,"Cluster provisioning experienced degraded performance, but the issue was resolved, and performance returned to normal after 7 hours and 25 minutes.",Performance Degradation
Github,2024-11-25,Disruption with GitHub Search,1 hour 28 minutes,"Between 13:57 and 15:25 UTC, repository searches were timing out for most users. The ongoing efforts from the similar incident last week helped uncover the main contributing factors. We have deployed short-term mitigations and identified longer term work to proactively identify and limit resource-intensive searches.",Performance Degradation
MongoDB,2024-11-23,[Scheduled] [Scheduled Maintenance Completed]: MongoDB Support Portal Service Restored,2 hours 4 minutes,"The maintenance scheduled for Nov 23, 2024 has been successfully completed. We are happy to inform you that the MongoDB Support Portal has been fully restored. The MongoDB Support Portal was unavailable on Saturday, November 23, 2024, from 15:49 UTC to 17:53 UTC due to planned maintenance. We appreciate your patience and understanding as we worked to complete the required maintenance.",Scheduled Maintenance
MongoDB,2024-11-19,Delays in Online Archiving,2 days 17 hours 13 minutes,The fix has been deployed across the fleet and Online Archiving is operating normally.,Performance Degradation
Confluent,2024-11-14,Confluent Cloud UI Unavailability,3 hours 25 minutes,"The Confluent Cloud UI was unavailable from Nov 14, 06:13 UTC to Nov 14, 09:38 UTC. The issue has been resolved, and the UI is fully functional now.",UI/Console Problem
Confluent,2024-11-13,Confluent Cloud Control Plane API/UI Unavailability,15 hours 23 minutes,"The Confluent Cloud Control Plane API/UI was unavailable from Nov 13, 18:12 UTC to Nov 14, 09:35 UTC. This incident has been resolved.",API Outage
Confluent,2024-11-04,Confluent Cloud - Metrics API Latency and Error Rate,13 hours 19 minutes,"The Confluent Cloud Metrics API experienced elevated latency and error rate from Nov 4, 17:36 UTC to Nov 5, 06:55 UTC. This incident has been resolved.",Performance Degradation
MongoDB,2024-08-29,Atlas Cluster Operations Delayed,35 minutes,"There was a minor delay in Atlas cluster operations, which has been resolved.",Performance Degradation
Confluent,2024-08-29,Some Confluent Cloud users might experience issues with network provisioning and Kafka read/write unavailability in multiple AWS regions,Resolved,Some users of Confluent Cloud may have encountered issues with network provisioning and Kafka read/write unavailability in various AWS regions. The incident has been resolved.,Network Issue
Github,2024-08-29,Disruption with some GitHub services,4 hours 58 minutes,"On August 29th, 2024, from 16:56 UTC to 21:42 UTC, we observed an elevated rate of traffic on our public edge, which triggered GitHub’s rate limiting protections. This resulted in <0.1% of users being identified as false-positives, which they experienced as intermittent connection timeouts. At 20:59 UTC the engineering team improved the system to remediate the false-positive identification of user traffic, and return to normal traffic operations.",Third-party Service Dependency
Github,2024-08-28,Disruption with some GitHub services,2 hours 3 minutes,"On August 28, 2024, from 21:40 to 23:43 UTC, up to 25% of unauthenticated dotcom traffic in SE Asia (representing <1% of global traffic) encountered HTTP 500 errors. We observed elevated error rates at one of our global points of presence, where geo-DNS health checks were failing. We identified unhealthy cloud hardware in the region, indicated by abnormal CPU utilization patterns. As a result, we drained the site at 23:26 UTC, which promptly restored normal traffic operations.",Third-party Service Dependency
MongoDB,2024-08-23,MongoDB Atlas Triggers: Delayed Processing of Events,"3 days, 17 hours, 59 minutes","There was a major incident with delayed processing of events in MongoDB Atlas Triggers, which has been resolved.",Database Problem
Confluent,2024-08-20,A few Azure customers facing delayed provisioning in us-west2 region,Ongoing,Some Azure customers in the us-west2 region are experiencing delays in provisioning services. The incident is currently ongoing.,Performance Degradation
MongoDB,2024-08-16,MongoDB Atlas Triggers: Increased failure rate,"5 days, 3 hours","There was a major incident with an increased failure rate in MongoDB Atlas Triggers, which has been resolved.",Database Problem
Confluent,2024-08-13,Confluent Cloud Metrics API is currently experiencing elevated latency and error rate,Resolved,The Confluent Cloud Metrics API is currently facing elevated latency and error rates. The incident has been resolved.,Performance Degradation
Confluent,2024-08-12,Confluent Cloud Metrics API is currently experiencing elevated error rates,Resolved,"The Confluent Cloud Metrics API is experiencing elevated error rates. The incident has been resolved, and the API is now functioning as expected.",API Outage
Github,2024-05-30,Incident with Copilot,1 hour 47 minutes,"On May 30th, 2024, between 03:37 PM UTC and 05:14 PM UTC Copilot chat conversations on github.com saw degraded availability, where chat requests referencing files from a repository failed. This was due to an expired security certificate, which required communication to an internal service. Overall, the error rate was 40% on average. Other Copilot chat experiences were unaffected during this time. The incident was mitigated by rotating the certificate in question. To prevent future incidents, we are working to reduce our time to detect and have removed certificate-based dependencies between these internal systems in the process.",Security Incident
Github,2024-05-28,Incident with Codespaces,3 hours,"On 2024-05-28 between 18:30 and 21:30 UTC, the Codespaces service was degraded. Users with dev container configurations that depended on the DockerHub container registry were unable to create new codespaces unless they provided their own DockerHub registry credentials. We observed a rise of at most 6% of creations entering recovery mode due to this incident.",Third-party Service Dependency
